angleToItem,distanceToItem,current_direction,current_direction_top_blocked,current_direction_right_blocked,current_direction_bottom_blocked,current_direction_left_blocked,direction
-90.0,8.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,7.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,6.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,5.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,4.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,3.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,2.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
-90.0,1.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
71.57,6.32,0.0,-1.0,-1.0,1.0,-1.0,0.0
74.05,7.28,0.0,-1.0,-1.0,1.0,-1.0,1.0
75.96,8.25,1.0,-1.0,-1.0,1.0,-1.0,1.0
82.87,8.06,1.0,-1.0,-1.0,-1.0,1.0,2.0
90.0,8.0,2.0,-1.0,-1.0,-1.0,1.0,2.0
90.0,7.0,2.0,1.0,-1.0,-1.0,-1.0,2.0
90.0,6.0,2.0,1.0,-1.0,-1.0,-1.0,2.0
90.0,5.0,2.0,1.0,-1.0,-1.0,-1.0,2.0
90.0,4.0,2.0,1.0,-1.0,-1.0,-1.0,2.0
90.0,3.0,2.0,1.0,-1.0,-1.0,-1.0,2.0
90.0,2.0,2.0,1.0,-1.0,-1.0,-1.0,2.0
90.0,1.0,2.0,1.0,-1.0,-1.0,-1.0,2.0
0.0,0.0,2.0,1.0,-1.0,-1.0,-1.0,2.0
4.76,12.04,2.0,1.0,-1.0,-1.0,-1.0,2.0
0.0,12.0,2.0,1.0,-1.0,-1.0,-1.0,1.0
-4.76,12.04,1.0,1.0,-1.0,-1.0,-1.0,1.0
-5.19,11.05,1.0,-1.0,-1.0,-1.0,1.0,1.0
-5.71,10.05,1.0,-1.0,-1.0,-1.0,1.0,0.0
-6.34,9.06,0.0,-1.0,-1.0,-1.0,1.0,1.0
0.0,9.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
0.0,8.0,1.0,-1.0,-1.0,-1.0,1.0,1.0
0.0,7.0,1.0,-1.0,-1.0,-1.0,1.0,1.0
0.0,6.0,1.0,-1.0,-1.0,-1.0,1.0,1.0
0.0,5.0,1.0,-1.0,-1.0,-1.0,1.0,1.0
0.0,4.0,1.0,-1.0,-1.0,-1.0,1.0,1.0
0.0,3.0,1.0,-1.0,-1.0,-1.0,1.0,1.0
0.0,2.0,1.0,-1.0,-1.0,-1.0,1.0,1.0
0.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,0.0
0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0
147.99,9.43,0.0,-1.0,-1.0,1.0,-1.0,0.0
143.13,10.0,0.0,-1.0,-1.0,1.0,-1.0,3.0
